Id,WnvPresent
1,0.000647058823529445
2,0.000647058823529445
3,0.000647058823529445
4,0.006192492426347118
5,0.006192492426347118
6,0.006192492426347118
7,0.006192492426347118
8,0.006192492426347118
9,0.000647058823529445
10,0.000647058823529445
11,0.000647058823529445
12,0.0031633065584515396
13,0.0031633065584515396
14,0.0031633065584515396
15,0.0031633065584515396
16,0.0031633065584515396
17,0.0
18,0.0
19,0.0
20,0.0034040526849037356
21,0.0034040526849037356
22,0.0034040526849037356
23,0.0034040526849037356
24,0.0034040526849037356
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0030000000000000027
34,0.0030000000000000027
35,0.0030000000000000027
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0010000000000000009
58,0.0010000000000000009
59,0.0010000000000000009
60,0.009141388530243266
61,0.009141388530243266
62,0.009141388530243266
63,0.009141388530243266
64,0.009141388530243266
65,0.007177648529536396
66,0.007177648529536396
67,0.007177648529536396
68,0.0041633065584515405
69,0.0041633065584515405
70,0.0041633065584515405
71,0.0041633065584515405
72,0.0041633065584515405
73,0.0020000000000000018
74,0.0020000000000000018
75,0.0020000000000000018
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.013633364653067859
85,0.013633364653067859
86,0.013633364653067859
87,0.013633364653067859
88,0.013633364653067859
89,0.0007352941176470562
90,0.0007352941176470562
91,0.0007352941176470562
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0007352941176470562
98,0.0007352941176470562
99,0.0007352941176470562
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.009124974521428797
109,0.009124974521428797
110,0.009124974521428797
111,0.009124974521428797
112,0.009124974521428797
113,0.0
114,0.0
115,0.0
116,0.008947667841980311
117,0.008947667841980311
118,0.008947667841980311
119,0.008947667841980311
120,0.008947667841980311
121,0.0
122,0.0
123,0.0
124,0.0030000000000000027
125,0.0030000000000000027
126,0.0030000000000000027
127,0.0030000000000000027
128,0.0030000000000000027
129,0.004861538461538473
130,0.004861538461538473
131,0.004861538461538473
132,0.016107652484695256
133,0.016107652484695256
134,0.016107652484695256
135,0.016107652484695256
136,0.016107652484695256
137,0.0010000000000000009
138,0.0010000000000000009
139,0.0010000000000000009
140,0.010703405586825365
141,0.010703405586825365
142,0.010703405586825365
143,0.010703405586825365
144,0.010703405586825365
145,0.0
146,0.0
147,0.0
148,0.0024326241134752236
149,0.0024326241134752236
150,0.0024326241134752236
151,0.0024326241134752236
152,0.0024326241134752236
153,0.0016470588235294459
154,0.0016470588235294459
155,0.0016470588235294459
156,0.006442492426347091
157,0.006442492426347091
158,0.006442492426347091
159,0.006442492426347091
160,0.006442492426347091
161,0.0010000000000000009
162,0.0010000000000000009
163,0.0010000000000000009
164,0.004519818316648161
165,0.004519818316648161
166,0.004519818316648161
167,0.004519818316648161
168,0.004519818316648161
169,0.015287179274610874
170,0.015287179274610874
171,0.015287179274610874
172,0.0031633065584515396
173,0.0031633065584515396
174,0.0031633065584515396
175,0.0031633065584515396
176,0.0031633065584515396
177,0.0
178,0.0
179,0.0
180,0.002638095238095106
181,0.002638095238095106
182,0.002638095238095106
183,0.002638095238095106
184,0.002638095238095106
185,0.001971428571428513
186,0.001971428571428513
187,0.001971428571428513
188,0.008387730521585257
189,0.008387730521585257
190,0.008387730521585257
191,0.008387730521585257
192,0.008387730521585257
193,0.0010000000000000009
194,0.0010000000000000009
195,0.0010000000000000009
196,0.007610003248857966
197,0.007610003248857966
198,0.007610003248857966
199,0.007610003248857966
200,0.007610003248857966
201,0.0016470588235294459
202,0.0016470588235294459
203,0.0016470588235294459
204,0.0041633065584515405
205,0.0041633065584515405
206,0.0041633065584515405
207,0.0041633065584515405
208,0.0041633065584515405
209,0.0050000000000000044
210,0.0050000000000000044
211,0.0050000000000000044
212,0.015973570860529307
213,0.015973570860529307
214,0.015973570860529307
215,0.015973570860529307
216,0.015973570860529307
217,0.0
218,0.0
219,0.0
220,0.012865509172060752
221,0.012865509172060752
222,0.012865509172060752
223,0.012865509172060752
224,0.012865509172060752
225,0.0040000000000000036
226,0.0040000000000000036
227,0.0040000000000000036
228,0.015900002832749505
229,0.015900002832749505
230,0.015900002832749505
231,0.015900002832749505
232,0.015900002832749505
233,0.0007352941176470562
234,0.0007352941176470562
235,0.0007352941176470562
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0007352941176470562
242,0.0007352941176470562
243,0.0007352941176470562
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.011355187849708348
250,0.011355187849708348
251,0.011355187849708348
252,0.009204078098390522
253,0.009204078098390522
254,0.009204078098390522
255,0.009204078098390522
256,0.009204078098390522
257,0.008398666110577935
258,0.008398666110577935
259,0.008398666110577935
260,0.009204078098390522
261,0.009204078098390522
262,0.009204078098390522
